商品ID,商品名称,品类,品牌,单价,在售状态
P001,iPhone 15 128G,手机数码,Apple,5999.0,在售
P002,iPhone 15 Pro 256G,手机数码,Apple,8999.0,在售
P003,华为 Mate 60 Pro,手机数码,华为,6999.0,在售
P004,小米 14 12+256G,手机数码,小米,4299.0,在售
P005,荣耀 Magic6,手机数码,荣耀,3999.0,在售
P006,Redmi K70,手机数码,小米,2499.0,在售
P007,AirPods Pro 2,手机数码,Apple,1899.0,在售
P008,索尼 WH-1000XM5 耳机,手机数码,索尼,2399.0,在售
P009,小米手环8,手机数码,小米,249.0,在售
P010,小米 充电宝20000mAh,手机数码,小米,129.0,在售
P011,罗技 MX Master 3S 鼠标,电脑办公,罗技,699.0,在售
P012,机械键盘 87键,电脑办公,雷柏,199.0,在售
P013,戴尔 U2723QE 显示器,电脑办公,戴尔,3499.0,在售
P014,联想小新 Pro16 笔记本,电脑办公,联想,5799.0,在售
P015,华为平板 MatePad 11,电脑办公,华为,2199.0,在售
P016,得力 A4 打印纸,电脑办公,得力,29.9,在售
P017,得力 文件夹,电脑办公,得力,15.9,在售
P018,美的 1.5匹空调,家电,美的,2799.0,在售
P019,海尔 10kg 滚筒洗衣机,家电,海尔,1899.0,在售
P020,格力 电风扇,家电,格力,199.0,在售
P021,米家扫地机器人,家电,小米,1599.0,在售
P022,苏泊尔电饭煲,家电,苏泊尔,299.0,在售
P023,九阳破壁机,家电,九阳,399.0,在售
P024,戴森 V12 吸尘器,家电,戴森,3290.0,在售
P025,海尔冰箱 501L,家电,海尔,3999.0,在售
P026,小米电视 65寸,家电,小米,2999.0,在售
P027,优衣库 圆领T恤,服饰,优衣库,79.0,在售
P028,李宁 跑步鞋,服饰,李宁,399.0,在售
P029,阿迪达斯 运动外套,服饰,阿迪达斯,599.0,在售
P030,南极人 棉袜5双装,服饰,南极人,29.9,在售
P031,波司登 羽绒服,服饰,波司登,1299.0,在售
P032,太平鸟 牛仔裤,服饰,太平鸟,259.0,在售
P033,兰蔻 小黑瓶精华,美妆个护,兰蔻,760.0,在售
P034,雅诗兰黛 小棕瓶,美妆个护,雅诗兰黛,950.0,在售
P035,欧莱雅 洗面奶,美妆个护,欧莱雅,129.0,在售
P036,云南白药 牙膏,美妆个护,云南白药,39.9,在售
P037,海飞丝 洗发水,美妆个护,宝洁,59.9,在售
P038,全棉时代 洗脸巾,美妆个护,全棉时代,49.9,在售
P039,完美日记 口红,美妆个护,完美日记,89.0,在售
P040,三只松鼠 坚果礼盒,食品,三只松鼠,99.0,在售
P041,蒙牛 纯牛奶24盒,食品,蒙牛,69.9,在售
P042,农夫山泉 矿泉水,食品,农夫山泉,36.0,在售
P043,星巴克 咖啡豆,食品,星巴克,128.0,在售
P044,良品铺子 零食大礼包,食品,良品铺子,139.0,在售
P045,金龙鱼 食用油5L,食品,金龙鱼,89.9,在售
P046,网易严选 保温杯,家居日用,网易严选,99.0,在售
P047,全棉时代 浴巾,家居日用,全棉时代,79.0,在售
P048,公牛 插线板,家居日用,公牛,49.9,在售
P049,苏泊尔 炒锅,家居日用,苏泊尔,159.0,在售
P050,宜家 收纳箱,家居日用,宜家,69.0,在售
