订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态
DD202401850,2024-12-05,拼多多,P011,罗技 MX Master 3S 鼠标 ,699,2.0,1398.0,U0031,黑龙江,已完成
DD202401287,2024-10-13,天猫,P050,宜家 收纳箱 ,69,4.0,276.0,U0190,海南,已发货
DD202401766,2024-04-21,京东,P025,海尔冰箱 501L,¥3999,3.0,11997.0,U0102,黑龙江,已完成
DD202401179,20240316,拼多多,P018,美的 1.5匹空调,2799,3.0,8397.0,U0141,海南,已完成
DD202400623,2024-07-22,天猫,P020,格力 电风扇,¥199,3.0,597.0,U0153,黑龙江,已发货
DD202402390,2024-11-23,微信小程序,P047,全棉时代 浴巾,,,,U0055,福建,已完成
DD202402211,20240606,微信小程序,P024,戴森 V12 吸尘器,3290,4.0,13160.0,U0108,宁夏,已完成
DD202400148,2024-01-05,天猫,P019,海尔 10kg 滚筒洗衣机 ,1899,2.0,3798.0,U0026,辽宁,已完成
DD202401084,2024-03-23,拼多多,P023,九阳破壁机,399,2.0,798.0,U0035,吉林,已完成
DD202401327,20240425,拼多多,P047,全棉时代 浴巾 ,¥79,3.0,237.0,U0199,上海,已发货
DD202400081,2024-05-21,天猫,P002,iphone 15 pro 256g,¥8999,-1.0,-8999.0,U0179,海南,已退款
DD202401028,2024-10-20,京东,P038,全棉时代洗脸巾,49.9,2.0,99.8,U0141,宁夏,已完成
DD202400468,20240107,拼多多,P039,完美日记 口红,¥89,0.0,,U0018,新疆,已完成
DD202400045,2024-07-06,天猫,P003,华为Mate60Pro,6999,1.0,6999.0,U0100,浙江,待发货
DD202402794,2024/3/5,微信小程序,P017,得力 文件夹 ,15.9,-1.0,-15.9,U0139,湖北,已退款
DD202402839,2024-06-28,天猫,P013,戴尔 u2723qe 显示器,¥3499,1.0,3499.0,U0010,内蒙古,已完成
DD202402055,2024-09-16,微信小程序,P019,海尔 10kg 滚筒洗衣机,1899,3.0,5697.0,U0135,广西,已取消
DD202400361,2024-07-29,天猫,P011,罗技 MX Master 3S 鼠标,699,5.0,3495.0,U0144,安徽,已发货
DD202401577,2024/4/4,抖音,P009,小米手环8,249,4.0,996.0,U0126,新疆,待发货
DD202402214,2024-01-13,天猫,P027,优衣库 圆领T恤 ,79,3.0,237.0,U0105,天津,已取消
DD202400338,2024-08-27,拼多多,P011,罗技 MX Master 3S 鼠标 ,699,1.0,699.0,U0129,北京,已取消
